ID,round,code_final,code_mid,who,container,batch_number,fridge,worm_species,worm_number,fungi_species,fungi_density_1,fungi_density_2,fungi_density_3,bacteria_species,bacteria_density_1,bacteria_density_2,premix,mineral_1_type,mineral_1_grainsize,mineral_1_ratio,mineral_2_type,mineral_2_grainsize,mineral_2_ratio,mineral_3_type,mineral_3_grainsize,mineral_3_ratio,mineral_check,organic_matter_type,addition_nitrogen_mmol_l,addition_phosphorus_mmol_l,enzyme1_species,enzyme1_density,enzyme2_species,enzyme2_density,enzyme3_species,enzyme3_density,enzyme_dosing_frequency,chelates_type,chelates_concentration_uM,water_flowrate_text,water_frequency,biochar,status,weight_mid_total_kg,EC_mid_uScm,pH_mid,temperature_mid_degC,weight_final_total_kg,EC_final_uScm,pH_final,temperature_final_degC,pco2_container_ppm,precipitation,alkalinity_forst_mid_umol_l,alkalinity_geomar_mid_umol_l,alkalinity_forst_final_umol_l,alkalinity_geomar_final_umol_l,DIC_mid_mg_l,DIC_final_mg_l,DOC_mid_mg_l,DOC_final_mg_l,ICP_Al_ug_l,ICP_Cd_ug_l,ICP_Cu_ug_l,ICP_Fe_ug_l,ICP_Li_ug_l,ICP_Mn_ug_l,ICP_Ni_ug_l,ICP_Sr_ug_l,ICP_Zn_ug_l,ICP_Ca_mg_l,ICP_K_mg_l,ICP_Mg_mg_l,ICP_Na_mg_l,ICP_P_mg_l,ICP_Si_mg_l,DSi_umol_l,analysis,LOI_C%,IC_mid_Li_umol_l,IC_mid_Na_umol_l,IC_mid_NH4_umol_l,IC_mid_K_umol_l,IC_mid_Ca_umol_l,IC_mid_Mg_umol_l,IC_mid_F_umol_l,IC_mid_Cl_umol_l,IC_mid_NO2_umol_l,IC_mid_Br_umol_l,IC_mid_NO3_umol_l,IC_mid_PO4_umol_l,IC_mid_SO4_umol_l,IC_final_Li_umol_l,IC_final_Na_umol_l,IC_final_NH4_umol_l,IC_final_K_umol_l,IC_final_Ca_umol_l,IC_final_Mg_umol_l,IC_final_F_umol_l,IC_final_Cl_umol_l,IC_final_NO2_umol_l,IC_final_Br_umol_l,IC_final_NO3_umol_l,IC_final_PO4_umol_l,IC_final_SO4_umol_l
1,1,1F-001,1M-001,Reinaldy,5,1,1,No Worm,0,No Fungi,,,,No Bacteria,,,,Basalt_Lavagestein,0.063,100,No Mineral,No Mineral,0,No Mineral,No Mineral,0,OKAY,No Organic Matter,,,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Chelates,No Chelates,Flowrate 1 (50 mL/day),Once a day,No Biochar,Okay,0.741910479,572,8.607,,1.46,408,8.146,,,,4203.4,4360.6,2842.1,2945.39,,34.01,,1.665,44.2,0.03,0.61,0.7,0.94,0.09,0.21,37.3,1.6,10,36.8,10.6,,0.1,7.26,,Yes,0.056820065,NA,2611.86,NA,1071.81,333.02,529.3,166.74,429.88,30.74,NA,NA,NA,261.33,NA,973.53,NA,1071.81,333.02,529.3,166.74,429.88,30.74,NA,NA,NA,142.13
2,1,1F-002,1M-002,Reinaldy,5,2,1,No Worm,0,No Fungi,,,,No Bacteria,,,,Basalt_Lavagestein,0 to 2,100,No Mineral,No Mineral,0,No Mineral,No Mineral,0,OKAY,No Organic Matter,,,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Chelates,No Chelates,Flowrate 1 (50 mL/day),Once a day,No Biochar,Okay,0.788590251,234,7.825,,1.59,236,7.941,,,,1806.9,1860.68,1672.8,1685.65,,20.575,,0.043,21.6,0.003,1.19,1,1.39,0.12,0.2,106,2.8,28.3,7.3,3.33,,0.01,6.51,,Yes,-0.003683282,NA,311.84,NA,213.65,896.9,163.06,44.81,381.31,NA,NA,31.02,NA,115.09,NA,281.73,NA,213.65,896.9,163.06,44.81,381.31,NA,NA,31.02,NA,105.53
3,1,1F-003,1M-003,Reinaldy,5,3,1,No Worm,0,No Fungi,,,,No Bacteria,,,,Basalt_Basaltgestein,0.063,100,No Mineral,No Mineral,0,No Mineral,No Mineral,0,OKAY,No Organic Matter,,,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Chelates,No Chelates,Flowrate 1 (50 mL/day),Once a day,No Biochar,Okay,0.460244142,1056,8.357,,0.7,759,8.501,,,,5629.8,5714.56,5081.4,5168.9,,63.374,,6.364,7.3,0.324,0.8,3.4,0.73,0.05,0.78,71.8,1,5.9,20.5,7.04,,0.02,13.2,,Yes,0.117401272,NA,8291.95,NA,627.9,195.22,393.53,151.32,1022.64,39.69,NA,73.25,NA,1694.87,NA,5664.47,NA,627.9,195.22,393.53,151.32,1022.64,39.69,NA,73.25,NA,618.76
4,1,1F-004,1M-004,Reinaldy,5,4,1,No Worm,0,No Fungi,,,,No Bacteria,,,,Basalt_Basaltgestein,1 to 3,100,No Mineral,No Mineral,0,No Mineral,No Mineral,0,OKAY,No Organic Matter,,,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Chelates,No Chelates,Flowrate 1 (50 mL/day),Once a day,No Biochar,Okay,0.521843372,389,8.182,,0.86,440,8.209,,,,2448,2671.66,2950.6,3097.97,,32.261,,4.26,1.8,0.068,0.39,0.7,1.1,0.47,2.15,89.6,1.2,15.3,12.8,24,,0.01,12.1,,Yes,0.001134444,NA,902.29,NA,351.96,470.03,1152.94,88.11,740.21,36.41,NA,77.32,NA,513.03,NA,1031.88,NA,351.96,470.03,1152.94,88.11,740.21,36.41,NA,77.32,NA,404.67
5,1,1F-005,1M-005,Reinaldy,5,5,1,No Worm,0,No Fungi,,,,No Bacteria,,,,Dunite,No.11 (0.063),100,No Mineral,No Mineral,0,No Mineral,No Mineral,0,OKAY,No Organic Matter,,,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Chelates,No Chelates,Flowrate 1 (50 mL/day),Once a day,No Biochar,Okay,0.544440978,981,8.925,,0.92,633,8.644,,,,11576.6,11623.99,6274.1,6334.18,,72.714,,3.391,0.1,0.003,0.2,0,0.84,-0.09,1.02,863,0.5,4.8,51.1,47.9,,0,0.665,,Yes,0.015424557,NA,1237.48,NA,1477.93,107.78,2323.68,NA,502.81,36.52,NA,16.26,NA,217.02,NA,915.86,NA,1477.93,107.78,2323.68,NA,502.81,36.52,NA,16.26,NA,125.62
6,1,1F-006,1M-006,Reinaldy,5,6,1,No Worm,0,No Fungi,,,,No Bacteria,,,,Dunite,AFS 80 (0.125),100,No Mineral,No Mineral,0,No Mineral,No Mineral,0,OKAY,No Organic Matter,,,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Chelates,No Chelates,Flowrate 1 (50 mL/day),Once a day,No Biochar,Okay,0.673251732,419,8.281,,1.27,322,8.294,,,,4088.5,4243.26,4132.8,4263.56,,32.991,,0,0.1,0,0.07,0,1.95,0.42,0.71,160,0.4,9.9,20.3,19.2,,0,3.76,,Yes,-0.002154686,NA,838.15,NA,684.78,378.01,1107.09,NA,441.88,40.93,NA,NA,NA,69.12,NA,612.64,NA,684.78,378.01,1107.09,NA,441.88,40.93,NA,NA,NA,87.82
7,1,1F-007,1M-007,Reinaldy,5,7,1,No Worm,0,No Fungi,,,,No Bacteria,,,,Dunite,AFS 20 (1),100,No Mineral,No Mineral,0,No Mineral,No Mineral,0,OKAY,No Organic Matter,,,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Chelates,No Chelates,Flowrate 1 (50 mL/day),Once a day,No Biochar,Okay,0.373845917,668,9.01,,0.49,461,8.368,,,,6513,6635.84,3736,3858.25,,46.269,,2.911,-0.1,0,0.1,0.1,3.14,0.5,1.24,307,0.9,17.6,23.3,25.6,,0,5.46,,Yes,0.002275989,NA,2207.14,NA,685.78,537.28,1253.28,NA,635.33,33.54,NA,17.54,NA,133.61,NA,839.16,NA,685.78,537.28,1253.28,NA,635.33,33.54,NA,17.54,NA,131.26
8,1,1F-008,1M-008,Reinaldy,5,8,1,A._caliginosa_A._chlorotica,10,No Fungi,,,,No Bacteria,,,,Basalt_Lavagestein,0.063,100,No Mineral,No Mineral,0,No Mineral,No Mineral,0,OKAY,Digestate,,,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Chelates,No Chelates,Flowrate 1 (50 mL/day),Once a day,No Biochar,Okay,0.734710069,1107,8.92,,1.44,786,8.237,,,,8059.9,8122.89,6639.6,6700.6,,77.963,,8.832,4.4,0.096,3.43,3.6,2.76,47.5,6.15,240,0.8,50.6,64.5,22.8,,0.65,13,,Yes,-0.006119939,#N/A,#N/A,#N/A,1851.2,1540.86,1085.82,157.05,619.52,NA,NA,11.85,NA,#N/A,NA,1714.7,NA,1851.2,1540.86,1085.82,157.05,619.52,NA,NA,11.85,NA,453.33
9,1,1F-009,1M-009,Reinaldy,10,9,1,No Worm,0,No Fungi,,,,No Bacteria,,,,Basalt_Lavagestein,0.063,100,No Mineral,No Mineral,0,No Mineral,No Mineral,0,OKAY,No Organic Matter,,,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Chelates,No Chelates,Flowrate 2 (100 mL/day),Once a day,No Biochar,Okay,1.219253278,371,7.972,,4.13,284,8.056,,,,2721.6,2670.01,2162.7,2410.14,,23.317,,0,61.7,0.012,0.3,0.5,0.66,0.15,0.06,39.9,0.5,14.4,24.4,7.44,,0.09,6.67,,Yes,0.004711323,NA,1452.42,NA,705.52,467.77,373.37,153.05,342.75,NA,NA,NA,NA,167.08,NA,629.19,NA,705.52,467.77,373.37,153.05,342.75,NA,NA,NA,NA,113.47
10,1,1F-010,1M-010,Reinaldy,10,10,1,No Worm,0,No Fungi,,,,No Bacteria,,,,Basalt_Lavagestein,0 to 2,100,No Mineral,No Mineral,0,No Mineral,No Mineral,0,OKAY,No Organic Matter,,,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Enzyme,No Chelates,No Chelates,Flowrate 2 (100 mL/day),Once a day,No Biochar,Okay,1.319882742,187.6,8.252,,3.88,232,7.864,,,,1323.6,1630.67,1703.9,1952.12,,16.587,,0,16.2,0,2.25,2,1.35,0.12,0.21,106,1.1,29.6,5.4,3.18,,0,6.49,,Yes,-0.008235995,NA,286.01,NA,148.32,945.68,135.26,135.37,349.98,32.18,NA,40.61,NA,102.48,NA,277.07,NA,148.32,945.68,135.26,135.37,349.98,32.18,NA,40.61,NA,106.13
