sample_ID,PIC_percentage,duration_hour
KE (1)_2,1.88,1
KE (1)_2 B,1.908,1
KE (1)_2 C,1.866,1
KE (1)_2 D,1.747,1
KE (1)_2 E,1.963,1
KE (2)_2 A,1.649,1
KE (2)_2 B,1.761,1
KE (2)_2 C,1.833,1
KE (2)_2 D,1.823,1
KE (2)_2 E,1.573,1
1H_1A,2.252,1
1H_1B,2.147,1
1H_1C,2.055,1
1H_1D,2.088,1
1H_1E,2.297,1
4H_1A,3.561,4
4H_1D,3.416,4
4H_1E,3.737,4
4H_2A,2.978,4
4H_2B,3.229,4
4H_2C,3.45,4
4H_2D,3.517,4
4H_2E,4.112,4
8H_1A,4,8
8H_1B,3.361,8
8H_1C,4.38,8
8H_1D,3.604,8
8H_1E,4.094,8
8H_2A,5.315,8
8H_2B,4.699,8
8H_2C,4.596,8
8H_2D,4.368,8
8H_2E,4.012,8
12H_1A,4.254,12
12H_1B,3.099,12
12H_1C,3.713,12
12H_1D,4.141,12
12H_1E,4.094,12
12H_2A,3.992,12
12H_2B,3.865,12
12H_2C,3.84,12
12H_2D,4.629,12
12H_2E,4.399,12
KF (1)_6 A,4.33,24
KF (1)_6 B,4.059,24
KF (1)_6 C,4.059,24
KF (1)_6 D,3.736,24
KF (1)_6 E,3.779,24
KF (2)_6 A,4.357,24
KF (2)_6 B,4.1905,24
KF (2)_6 C,3.912,24
KF (2)_6 D,3.963,24
KF (2)_6 E,4.405,24
C24H_2A,4.921,24
C24H_2B,3.3215,24
C24H_2C,4.231,24
C24H_2D,4.258,24
C24H_2E,4.305,24
C24H_1A,3.642,24
C24H_1B,3.541,24
C24H_1C,3.004,24
C24H_1D,3.407,24
C24H_1E,3.519,24
Lt5_4A ,6.038,120
Lt5_4B,5.988,120
Lt5_4C,6.011,120
Lt5_4D,6.122,120
Lt5_4E,5.9085,120
