Fresh _slag1,Fresh_slag2,Fresh_slag3,Post_slag1,Post_slag2,Post_slag3,aperture_um
0,0,0,0,0,0,87.50
0,0,0,0,0,0,73.50
0,0,0,0,1.24,0,61.50
0.94,0.37,0.96,0,2.07,0,51.50
2.58,1.84,2.13,4.06,2.54,0,43.50
4.44,3.09,3.48,6.75,2.36,1.69,36.50
5.38,3.73,4.23,8.28,4.14,4.18,30.50
5.57,3.93,4.42,8.31,5.18,5.93,25.50
5.37,3.98,4.19,7.21,5.83,6.15,21.50
5.8,4.7,4.41,6.52,6.35,6.43,18.00
6.29,5.7,4.9,5.83,6.3,6.21,15.00
6.5,6.54,5.47,5.25,6.01,5.35,12.50
6.3,6.88,5.83,4.75,5.47,4.41,10.50
5.63,6.49,5.73,4.17,4.73,3.85,9.00
6.72,7.98,7.53,5,5.63,5.16,7.50
6.45,7.73,8,4.92,5.63,5.87,6.25
5.54,6.64,7.32,4.29,4.99,5.59,5.25
4.21,5.05,5.75,3.24,3.84,4.48,4.50
4.1,4.89,5.7,3.09,3.74,4.6,3.75
3.8,4.47,5.33,2.61,3.29,4.28,3.00
2.27,2.6,3.16,1.28,1.64,2.12,2.50
1.43,1.6,1.97,0.71,0.85,1.04,2.15
1.12,1.23,1.51,0.52,0.59,0.66,1.85
1.05,1.13,1.35,0.54,0.56,0.57,1.55
0.86,0.93,1.02,0.53,0.55,0.52,1.30
0.73,0.78,0.77,0.55,0.57,0.55,1.10
0.79,0.86,0.76,0.74,0.82,0.82,0.90
0.69,0.75,0.57,0.77,0.89,0.95,0.75
0.51,0.58,0.39,0.66,0.81,0.9,0.65
0.58,0.64,0.42,0.82,1.04,1.21,0.55
0.65,0.73,0.43,1.01,1.36,1.64,0.45
3.7,4.16,2.27,7.59,10.98,14.84,0.25
0,0,0,0,0,0,0
